date,title,time_spent,notes
05/05/2019,A,5,it's working
12/11/1111,A,5,It's working quite nicely
13/11/1111,A,5,works
14/11/1111,A,5,it's work-ing
14/11/1111,A,5,it works
14/11/1111,A,5,it's working
14/11/1111,A,5,it's working
11/11/1111,kgilj,50,ugkiho
11/11/1111,a,3,c
11/11/1111,klghgilj,50,ugkiho
11/11/1111,a,3,c
11/11/1111,klghgj,50,ugkiho
11/11/1111,Enlightenment,3,I now understand the ways of the Developer
12/12/2019,Testing Complete,50,Wow that was some application and I learned a ton!
11/02/2019,A beautiful letter,5,
11/11/1123,50 ,50,50
